Título;Gênero;Rótulos de gênero;Estreia;Temporadas;Temporadas analisadas;Episódios analisados;Comprimento;Comprimento mínimo;Comprimento máximo;Status;Ativo;Tabela;Idioma;Data Inclusão;Data de Alteração
1994;Docu-series;docu-series;2019-05-17T00:00:00.000-03:00;5 episodes;0;5;44–52 min.;44;52;Miniseries;0;DocuSeries;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:19.657-03:00
Maniac;Dark comedy;dark,comedy;2018-09-21T00:00:00.000-03:00;10 episodes;0;10;27–47 min.;27;47;Miniseries;0;Comedy;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:17.727-03:00
Cooked;Culinary art;culinary,art;2016-02-19T00:00:00.000-02:00;4 episodes;0;4;50–58 min.;50;58;Miniseries;0;DocuSeries;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:17.496-03:00
Chef's Table: France;Culinary art;culinary,art;2016-09-02T00:00:00.000-03:00;1 season, 4 episodes;1;4;41–54 min.;41;54;Ended;0;DocuSeries;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:22.704-03:00
Crime Diaries: Night Out;Crime anthology series;crime,anthology,series;2019-05-03T00:00:00.000-03:00;8 episodes;0;8;38–48 min.;38;48;Miniseries;0;ForeignLanguage;Spanish;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:16.048-03:00
Crime Diaries: The Candidate;Crime anthology series;crime,anthology,series;2019-03-22T00:00:00.000-03:00;8 episodes;0;8;32–48 min.;32;48;Miniseries;0;ForeignLanguage;Spanish;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:16.360-03:00
Daredevil;Crime drama/legal drama;crime,drama,legal,drama;2015-04-10T00:00:00.000-03:00;3 seasons, 39 episodes;3;39;46–61 min.;46;61;Ended;0;Marvel;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:22.072-03:00
The Punisher;Crime drama/conspiracy thriller;crime,drama,conspiracy,thriller;2017-11-17T00:00:00.000-02:00;2 seasons, 26 episodes;2;26;47–58 min.;47;58;Ended;0;Marvel;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:20.156-03:00
Narcos;Crime drama;crime,drama;2015-08-28T00:00:00.000-03:00;3 seasons, 30 episodes;3;30;43–60 min.;43;60;Ended;0;Drama;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:17.078-03:00
The Keepers;Crime drama;crime,drama;2017-05-19T00:00:00.000-03:00;7 episodes;0;7;56–66 min.;56;66;Miniseries;0;DocuSeries;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:20.159-03:00
Seven Seconds;Crime drama;crime,drama;2018-02-23T00:00:00.000-03:00;1 season, 10 episodes;1;10;54–80 min.;54;80;Ended;0;Drama;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:22.472-03:00
Estocolmo;Crime drama;crime,drama;2016-11-11T00:00:00.000-02:00;1 season, 13 episodes;1;13;37–49 min.;37;49;Ended;0;ForeignLanguage;Spanish;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:22.515-03:00
Cooking on High;Cooking show;cooking,show;2018-06-22T00:00:00.000-03:00;1 season, 12 episodes;1;12;13–15 min.;13;15;Ended;0;Reality;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:16.090-03:00
The Curious Creations of Christine McConnell;Cooking show;cooking,show;2018-10-12T00:00:00.000-03:00;1 season, 6 episodes;1;6;24–29 min.;24;29;Ended;0;Reality;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:23.615-03:00
Everything Sucks!;Coming-of-age comedy;coming-of-age,comedy;2018-02-16T00:00:00.000-02:00;1 season, 10 episodes;1;10;23–27 min.;23;27;Ended;0;Comedy;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:17.483-03:00
Santa Clarita Diet;Comedy-horror;comedy-horror;2017-02-03T00:00:00.000-02:00;3 seasons, 30 episodes;3;30;26–35 min.;26;35;Ended;0;Comedy;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:15.554-03:00
Club de Cuervos;Comedy-drama;comedy-drama;2015-08-07T00:00:00.000-03:00;4 seasons, 45 episodes;4;45;36–94 min.;36;94;Ended;0;ForeignLanguage;Spanish;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:22.965-03:00
The Joel McHale Show with Joel McHale;Comedy;comedy;2018-02-18T00:00:00.000-03:00;2 parts, 19 episodes;0;19;22–28 min.;22;28;Ended;0;VarietyTalk;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:15.527-03:00
Chelsea Does;Comedy;comedy;2016-01-23T00:00:00.000-02:00;1 season, 4 episodes;1;4;62–74 min.;62;74;Ended;0;DocuSeries;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:15.536-03:00
Unbreakable Kimmy Schmidt;Comedy;comedy;2015-03-06T00:00:00.000-03:00;4 seasons, 51 episodes;4;51;23–53 min.;23;53;Ended;0;Comedy;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:17.950-03:00
Friends from College;Comedy;comedy;2017-07-14T00:00:00.000-03:00;2 seasons, 16 episodes;2;16;26–34 min.;26;34;Ended;0;Comedy;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:18.450-03:00
Disjointed;Comedy;comedy;2017-08-25T00:00:00.000-03:00;2 parts, 20 episodes;0;20;23–32 min.;23;32;Ended;0;Comedy;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:18.977-03:00
Lady Dynamite;Comedy;comedy;2016-05-20T00:00:00.000-03:00;2 seasons, 20 episodes;2;20;26–36 min.;26;36;Ended;0;Comedy;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:19.070-03:00
Club de Cuervos Presents: The Ballad of Hugo Sánchez;Comedy;comedy;2018-06-17T00:00:00.000-03:00;1 season, 6 episodes;1;6;29–37 min.;29;37;Ended;0;ForeignLanguage;Spanish;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:19.790-03:00
Haters Back Off;Comedy;comedy;2016-10-14T00:00:00.000-03:00;2 seasons, 16 episodes;2;16;24–36 min.;24;36;Ended;0;Comedy;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:20.467-03:00
Russell Peters Vs. the World;Comedy;comedy;2013-10-03T00:00:00.000-03:00;1 season, 4 episodes;1;4;26–29 min.;26;29;Ended;0;DocuSeries;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:20.516-03:00
My Only Love Song;Comedy;comedy;2017-06-09T00:00:00.000-03:00;1 season, 20 episodes;1;20;27–30 min.;27;30;Ended;0;ForeignLanguage;Korean;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:21.221-03:00
All About the Washingtons;Comedy;comedy;2018-08-10T00:00:00.000-03:00;1 season, 10 episodes;1;10;22–27 min.;22;27;Ended;0;Comedy;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:21.267-03:00
Flaked;Comedy;comedy;2016-03-11T00:00:00.000-03:00;2 seasons, 14 episodes;2;14;30–34 min.;30;34;Ended;0;Comedy;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:22.230-03:00
Project Mc2;Comedy;comedy;2016-08-07T00:00:00.000-03:00;6 parts, 26 episodes;0;26;22–34 min.;22;34;Ended;0;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:22.869-03:00
Best.Worst.Weekend.Ever.;Comedy;comedy;2018-10-19T00:00:00.000-03:00;8 episodes;0;8;22–28 min.;22;28;Miniseries;0;Children;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:23.070-03:00
Girlboss;Comedy;comedy;2017-04-21T00:00:00.000-03:00;1 season, 13 episodes;1;13;24–29 min.;24;29;Ended;0;Comedy;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:23.798-03:00
Master of None;Comedy;comedy;2015-11-06T00:00:00.000-02:00;2 seasons, 20 episodes;2;20;21–57 min.;21;57;Ended;0;Comedy;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:23.816-03:00
Chasing Cameron;Celebrity;celebrity;2016-12-27T00:00:00.000-02:00;1 season, 10 episodes;1;10;26–33 min.;26;33;Ended;0;Reality;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:18.245-03:00
A Series of Unfortunate Events;Black-comedy mystery;black-comedy,mystery;2017-01-13T00:00:00.000-02:00;3 seasons, 25 episodes;3;25;36–64 min.;36;64;Ended;0;Drama;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:15.666-03:00
Abstract: The Art of Design;Biography;biography;2017-02-10T00:00:00.000-02:00;1 season, 8 episodes;1;8;41–48 min.;41;48;Ended;0;DocuSeries;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:22.834-03:00
The Day I Met El Chapo;Biography;biography;2017-10-20T00:00:00.000-02:00;1 season, 3 episodes;1;3;48–61 min.;48;61;Ended;0;DocuSeries;English;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:23.116-03:00
Blazing Transfer Students;Action comedy;action,comedy;2017-11-10T00:00:00.000-02:00;1 season, 8 episodes;1;8;23–28 min.;23;28;Ended;0;ForeignLanguage;Japanese;2021-03-16T21:20:24.000-03:00;2021-10-02T00:28:18.868-03:00
